subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples,ensemble_weight,model_selection,base_model_count,personal_model_count,base_model_pct,personal_model_pct
2,base,0.9894736842105263,0.9895318784766794,"{""Baseline"": {""correct"": 37, ""total"": 38, ""accuracy_pct"": 97.36842105263158}, ""Stress"": {""correct"": 20, ""total"": 20, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[37, 1, 0, 0], [0, 20, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95,,,,,,
2,personal,0.9473684210526315,0.9476518058494953,"{""Baseline"": {""correct"": 35, ""total"": 38, ""accuracy_pct"": 92.10526315789474}, ""Stress"": {""correct"": 18, ""total"": 20, ""accuracy_pct"": 90.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[35, 3, 0, 0], [1, 18, 1, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95,,,,,,
2,ensemble,0.968421052631579,0.9685956354300385,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 19, ""total"": 20, ""accuracy_pct"": 95.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 2, 0, 0], [1, 19, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95,0.5,,,,,
2,adaptive,0.968421052631579,0.9685956354300385,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 19, ""total"": 20, ""accuracy_pct"": 95.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 2, 0, 0], [1, 19, 0, 0], [0, 0, 12, 0], [0, 0, 0, 25]]",95,,"{'Baseline': {'base_model_used': 36, 'personal_model_used': 2, 'base_model_pct': 94.73684210526315, 'personal_model_pct': 5.263157894736842}, 'Stress': {'base_model_used': 19, 'personal_model_used': 1, 'base_model_pct': 95.0, 'personal_model_pct': 5.0}, 'Amusement': {'base_model_used': 10, 'personal_model_used': 2, 'base_model_pct': 83.33333333333334, 'personal_model_pct': 16.666666666666664}, 'Meditation': {'base_model_used': 23, 'personal_model_used': 2, 'base_model_pct': 92.0, 'personal_model_pct': 8.0}}",88.0,7.0,92.63157894736842,7.368421052631578
3,base,0.96875,0.968371935591405,"{""Baseline"": {""correct"": 38, ""total"": 38, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 19, ""total"": 21, ""accuracy_pct"": 90.47619047619048}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 0], [2, 19, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96,,,,,,
3,personal,0.8333333333333334,0.8327718423551757,"{""Baseline"": {""correct"": 31, ""total"": 38, ""accuracy_pct"": 81.57894736842105}, ""Stress"": {""correct"": 18, ""total"": 21, ""accuracy_pct"": 85.71428571428571}, ""Amusement"": {""correct"": 6, ""total"": 12, ""accuracy_pct"": 50.0}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[31, 0, 6, 1], [3, 18, 0, 0], [3, 0, 6, 3], [0, 0, 0, 25]]",96,,,,,,
3,ensemble,0.9791666666666666,0.9789829497466265,"{""Baseline"": {""correct"": 38, ""total"": 38, ""accuracy_pct"": 100.0}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[38, 0, 0, 0], [1, 20, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96,0.6,,,,,
3,adaptive,0.96875,0.9688691094941095,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 25, ""total"": 25, ""accuracy_pct"": 100.0}}","[[36, 0, 1, 1], [0, 21, 0, 0], [0, 0, 11, 1], [0, 0, 0, 25]]",96,,"{'Baseline': {'base_model_used': 35, 'personal_model_used': 3, 'base_model_pct': 92.10526315789474, 'personal_model_pct': 7.894736842105263}, 'Stress': {'base_model_used': 16, 'personal_model_used': 5, 'base_model_pct': 76.19047619047619, 'personal_model_pct': 23.809523809523807}, 'Amusement': {'base_model_used': 11, 'personal_model_used': 1, 'base_model_pct': 91.66666666666666, 'personal_model_pct': 8.333333333333332}, 'Meditation': {'base_model_used': 22, 'personal_model_used': 3, 'base_model_pct': 88.0, 'personal_model_pct': 12.0}}",84.0,12.0,87.5,12.5
4,base,0.9690721649484536,0.9690721649484536,"{""Baseline"": {""correct"": 36, ""total"": 38, ""accuracy_pct"": 94.73684210526315}, ""Stress"": {""correct"": 20, ""total"": 21, ""accuracy_pct"": 95.23809523809523}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[36, 1, 1, 0], [1, 20, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",97,,,,,,
4,personal,0.9175257731958762,0.9201371675598479,"{""Baseline"": {""correct"": 35, ""total"": 38, ""accuracy_pct"": 92.10526315789474}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[35, 1, 2, 0], [0, 21, 0, 0], [1, 0, 11, 0], [0, 1, 3, 22]]",97,,,,,,
